organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
Norfolk,DOW,DOW504,Walpole Highway,Millers Terrace,"Millers Terrace, Walpole Highway",,0.2366961166541982,52.69329853326854,Friday,10:55,11:10,FREQ=WEEKLY;INTERVAL=4,2019-08-16,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DOW-504.pdf
Norfolk,DER,DER501,Dersingham,Hanover Court,"Hanover Court, Dersingham",,0.5225182575778813,52.840458906298416,Friday,11:10,11:40,FREQ=WEEKLY;INTERVAL=4,2019-08-23,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DER-501.pdf
Norfolk,CEN2,CEN222,Necton,Mini Market,"Mini Market, Necton",,0.7766298294273098,52.64862895032257,Tuesday,11:20,11:35,FREQ=WEEKLY;INTERVAL=4,2019-08-13,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN2-222.pdf
Norfolk,EDE,EDE305,Whissonsett,Church Close,"Church Close, Whissonsett",,0.8440226426303278,52.77444752137384,Wednesday,10:50,11:05,FREQ=WEEKLY;INTERVAL=4,2019-08-21,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-305.pdf
Norfolk,EDE,EDE307,Middleton,Oakdale/Village Hall,"Oakdale/Village Hall, Middleton",,0.4597069214410209,52.71407453020951,Wednesday,11:05,11:30,FREQ=WEEKLY;INTERVAL=4,2019-09-04,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-307.pdf
Norfolk,DOW,DOW303,Hay Green,Shepherds Gate,"Shepherds Gate, Hay Green",,0.3034721132920102,52.73660918556441,Wednesday,10:50,11:05,FREQ=WEEKLY;INTERVAL=4,2019-09-04,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DOW-303.pdf
Norfolk,EDE,EDE205,Hillborough,Westgate Street (No.12),"Westgate Street (No.12), Hillborough",,0.682890298527813,52.57036962944817,Tuesday,10:35,10:45,FREQ=WEEKLY;INTERVAL=4,2019-08-20,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-205.pdf
Norfolk,EDE,EDE308,Beeston,Riding School,"Riding School, Beeston",,0.8188344733565703,52.707064670067766,Wednesday,11:15,11:30,FREQ=WEEKLY;INTERVAL=4,2019-08-14,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-308.pdf
Norfolk,DOW,DOW403,Magdalen,Church Close,"Church Close, Magdalen",,0.36271232241866347,52.674955221595425,Thursday,11:45,12:05,FREQ=WEEKLY;INTERVAL=4,2019-09-05,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DOW-403.pdf
Norfolk,DOW,DOW204,Emneth,Village Hall - Gaultree Square,"Village Hall - Gaultree Square, Emneth",,0.20826232883860965,52.641293780886066,Tuesday,10:50,11:25,FREQ=WEEKLY;INTERVAL=4,2019-08-13,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DOW-204.pdf
