organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
Perth and Kinross,Mobile 1,Mobile 1 Week 2 Wednesday,Bleachers Way,Huntingtowerfield,Huntingtowerfield - Bleachers Way,,-3.504994,56.415766,Wednesday,09:15,09:40,FREQ=WEEKLY;INTERVAL=2,2019-03-27,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 1 Thursday,Kintillo Rd,Kintillo,Kintillo - Kintillo Rd,,-3.408019,56.340944,Thursday,13:50,16:00,FREQ=WEEKLY;INTERVAL=2,2019-03-21,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 2 Saturday,Kintillo Road,Kintillo,Kintillo - Kintillo Road,,-3.40529,56.341982,Saturday,11:05,12:00,FREQ=WEEKLY;INTERVAL=2,2019-03-30,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 2 Wednesday,Lochty Nursery,Lochty Nursery,Lochty Nursery,,-3.515978,56.409891,Wednesday,09:45,10:20,FREQ=WEEKLY;INTERVAL=2,2019-03-27,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 1 Wednesday,Westfield,Luncarty,Luncarty - Westfield,,-3.46903,56.448706,Wednesday,10:00,11:00,FREQ=WEEKLY;INTERVAL=2,2019-03-20,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 2 Wednesday,Main St,Methven,Methven - Main St,,-3.578121,56.415884,Wednesday,14:00,14:50,FREQ=WEEKLY;INTERVAL=2,2019-03-27,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 2 Wednesday,Skelton Rd,Methven,Methven - Skelton Rd,,-3.577796,56.417377,Wednesday,15:00,16:00,FREQ=WEEKLY;INTERVAL=2,2019-03-27,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 1 Tuesday,Nr School,Muthill,Muthill - Nr School,,-3.831812,56.332314,Tuesday,15:00,16:00,FREQ=WEEKLY;INTERVAL=2,2019-03-19,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 2 Wednesday,On road to Dalcrue,Pitcairngreen,Pitcairngreen - On road to Dalcrue,,-3.521405,56.427696,Wednesday,11:40,12:30,FREQ=WEEKLY;INTERVAL=2,2019-03-27,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 1 Wednesday,Redgorton,Redgorton,Redgorton,,-3.479858,56.442922,Wednesday,09:30,09:50,FREQ=WEEKLY;INTERVAL=2,2019-03-20,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 2 Thursday,Richmond House,Richmond House,Richmond House,,-3.841285,56.377568,Thursday,10:20,10:40,FREQ=WEEKLY;INTERVAL=2,2019-03-28,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 1 Wednesday,Percy St,Stanley,Stanley - Percy St,,-3.44834,56.48099,Wednesday,11:15,12:15,FREQ=WEEKLY;INTERVAL=2,2019-03-20,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 2 Thursday,Strathearn Court,Strathearn Court,Strathearn Court,,-3.836512,56.374629,Thursday,09:30,10:10,FREQ=WEEKLY;INTERVAL=2,2019-03-28,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Thursday,Bus stop,Ardler,Ardler - Bus stop,,-3.198944,56.564125,Thursday,13:30,14:00,FREQ=WEEKLY;INTERVAL=2,2019-03-21,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Thursday,JB Groundshare,Balbeggie,Balbeggie - JB Groundshare,,-3.34858,56.450855,Thursday,10:00,10:30,FREQ=WEEKLY;INTERVAL=2,2019-03-21,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Thursday,Village Green,Burrelton,Burrelton - Village Green,,-3.301895,56.518462,Thursday,11:30,12:00,FREQ=WEEKLY;INTERVAL=2,2019-03-21,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Wednesday,New School,Butterstone,Butterstone - New School,,-3.5318866,56.597037,Wednesday,13:50,14:20,FREQ=WEEKLY;INTERVAL=2,2019-03-27,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Wednesday,Butterstone Village,Butterstone Village,Butterstone Village,,-3.526795,56.596372,Wednesday,13:25,13:45,FREQ=WEEKLY;INTERVAL=2,2019-03-27,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Wednesday,Cemetery,Caputh,Caputh - Cemetery,,-3.491064,56.543533,Wednesday,14:55,15:15,FREQ=WEEKLY;INTERVAL=2,2019-03-27,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Wednesday,Pitcairnie Lane,Carnbo,Carnbo - Pitcairnie Lane,,-3.526532,56.211021,Wednesday,15:00,15:30,FREQ=WEEKLY;INTERVAL=2,2019-03-20,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Wednesday,Whiteloch Ave,Carsie,Carsie - Whiteloch Ave,,-3.350747,56.568058,Wednesday,10:40,11:00,FREQ=WEEKLY;INTERVAL=2,2019-03-27,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Thursday,Village noticeboard,Collace,Collace - Village noticeboard,,-3.305182,56.473638,Thursday,10:45,11:15,FREQ=WEEKLY;INTERVAL=2,2019-03-21,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Thursday,Conachar Court,Conachar Court,Conachar Court,,-3.434124,56.357329,Thursday,15:30,16:00,FREQ=WEEKLY;INTERVAL=2,2019-03-21,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Wednesday,Village Inn,Crook of Devon,Crook of Devon - Village Inn,,-3.548791,56.18766,Wednesday,13:45,14:45,FREQ=WEEKLY;INTERVAL=2,2019-03-20,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Thursday,Bridge of Earn,Doodlebug Nursery,Doodlebug Nursery - Bridge of Earn,,-3.399911,56.343956,Thursday,15:30,16:00,FREQ=WEEKLY;INTERVAL=2,2019-03-28,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Thursday,Errol PS,Errol PS,Errol PS,,-3.209277,56.3935092,Thursday,13:30,14:30,FREQ=WEEKLY;INTERVAL=2,2019-03-28,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Saturday,Errol Village (Near School),Errol Village (Near School),Errol Village (Near School),,-3.209269,56.393386,Saturday,10:45,11:30,FREQ=WEEKLY;INTERVAL=2,2019-03-30,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Thursday,Viewlands Pl,Errol Sheltered Housing,Errol Sheltered Housing - Viewlands Pl,,-3.206195,56.395069,Thursday,14:35,15:05,FREQ=WEEKLY;INTERVAL=2,2019-03-28,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Tuesday,Errol Village (Near School),Errol Village (Near School),Errol Village (Near School),,-3.21488,56.392046,Tuesday,16:15,19:15,FREQ=WEEKLY;INTERVAL=2,2019-03-26,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Thursday,Gannochy,Gannochy,Gannochy,,-3.418422,56.40587,Thursday,14:30,14:50,FREQ=WEEKLY;INTERVAL=2,2019-03-21,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Tuesday,Red Squirrel Nursery,Glendoick,Glendoick - Red Squirrel Nursery,,-3.281238,56.38933,Tuesday,14:30,15:00,FREQ=WEEKLY;INTERVAL=2,2019-03-19,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Tuesday,Abbey Lane,Grange,Grange - Abbey Lane,,-3.181855,56.418368,Tuesday,18:10,18:45,FREQ=WEEKLY;INTERVAL=2,2019-03-19,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Tuesday,Gourdiehill,Grange,Grange - Gourdiehill,,-3.186055,56.411625,Tuesday,18:50,19:15,FREQ=WEEKLY;INTERVAL=2,2019-03-19,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Wednesday,Phone box,Guildtown,Guildtown - Phone box,,-3.409287,56.468672,Wednesday,10:00,10:30,FREQ=WEEKLY;INTERVAL=2,2019-03-27,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Thursday,Scone,Hanover Gdns,Hanover Gdns - Scone,,-3.411275,56.422951,Thursday,09:15,09:45,FREQ=WEEKLY;INTERVAL=2,2019-03-21,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Wednesday,"Gairneybank, Kinross",Hatchbank Rd,"Hatchbank Rd - Gairneybank, Kinross",,-3.408898,56.177689,Wednesday,11:40,12:00,FREQ=WEEKLY;INTERVAL=2,2019-03-20,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Tuesday,Main Street,Inchture,Inchture - Main Street,,-3.169626,56.445088,Tuesday,17:10,18:00,FREQ=WEEKLY;INTERVAL=2,2019-03-19,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Saturday,Main St,Inchture,Inchture - Main St,,-3.169626,56.445088,Saturday,09:45,10:30,FREQ=WEEKLY;INTERVAL=2,2019-03-30,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Thursday,Johnstone Ave. (Near Park Entrance),Invergowrie,Invergowrie - Johnstone Ave. (Near Park Entrance),,-3.056586,56.457614,Thursday,09:30,10:30,FREQ=WEEKLY;INTERVAL=2,2019-03-28,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Thursday,Kincarrathie House,Kincarrathie House,Kincarrathie House,,-3.422819,56.406017,Thursday,14:55,15:25,FREQ=WEEKLY;INTERVAL=2,2019-03-21,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Thursday,Kingsmason,Kingoodie,Kingoodie - Kingsmason,,-3.076132,56.451639,Thursday,10:40,11:00,FREQ=WEEKLY;INTERVAL=2,2019-03-28,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Wednesday,Opposite shop,Kinnesswood,Kinnesswood - Opposite shop,,-3.328934,56.211766,Tuesday,09:30,10:00,FREQ=WEEKLY;INTERVAL=2,2019-03-19,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Tuesday,Phone box,Knapp,Knapp - Phone box,,-3.16279,56.463984,Tuesday,15:40,16:00,FREQ=WEEKLY;INTERVAL=2,2019-03-19,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Tuesday,Yard Entrance,Leetown,Leetown - Yard Entrance,,-3.275296,56.383102,Tuesday,13:40,14:10,FREQ=WEEKLY;INTERVAL=2,2019-03-19,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Wednesday,Levenmouth Farm,Levenmouth Farm,Levenmouth Farm,,-3.3264856,56.1874196,Wednesday,11:00,11:20,FREQ=WEEKLY;INTERVAL=2,2019-03-20,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Thursday,Near Station Rd,Longforgan,Longforgan - Near Station Rd,,-3.058235,56.456824,Thursday,11:10,12:00,FREQ=WEEKLY;INTERVAL=2,2019-03-28,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Wednesday,Palace Rd,Marlee,Marlee - Palace Rd,,-3.379145,56.582328,Wednesday,11:45,12:05,FREQ=WEEKLY;INTERVAL=2,2019-03-27,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Wednesday,Monument,Meikleour,Meikleour - Monument,,-3.370387,56.541876,Wednesday,11:15,11:35,FREQ=WEEKLY;INTERVAL=2,2019-03-27,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Wednesday,Broompark,Murthly,Murthly - Broompark,,-3.472283,56.535697,Wednesday,15:25,15:40,FREQ=WEEKLY;INTERVAL=2,2019-03-27,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Wednesday,Village Hall,Murthly,Murthly - Village Hall,,-3.466932,56.528528,Wednesday,15:45,16:15,FREQ=WEEKLY;INTERVAL=2,2019-03-27,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Wednesday,Portmoak Hall,Portmoak Hall,Portmoak Hall,,-3.32051,56.204096,Wednesday,10:05,10:20,FREQ=WEEKLY;INTERVAL=2,2019-03-20,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Wednesday,Mill Gdns,Powmill,Powmill - Mill Gdns,,-3.581653,56.165472,Wednesday,13:20,13:40,FREQ=WEEKLY;INTERVAL=2,2019-03-20,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Wednesday,Leslie Rd,Scotlandwell,Scotlandwell - Leslie Rd,,-3.310749,56.200504,Wednesday,10:25,10:50,FREQ=WEEKLY;INTERVAL=2,2019-03-20,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Wednesday,Near shop,Spittalfield,Spittalfield - Near shop,,-3.452678,56.551975,Wednesday,14:35,14:50,FREQ=WEEKLY;INTERVAL=2,2019-03-27,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 1 Tuesday,Madoch Centre,St Madoes,St Madoes - Madoch Centre,,-3.29961,56.37583,Tuesday,12:15,13:30,FREQ=WEEKLY;INTERVAL=2,2019-03-19,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 2,Mobile 2 Week 2 Saturday,Madoch Centre,St Madoes,St Madoes - Madoch Centre,,-3.434124,56.357329,Saturday,11:40,12:15,FREQ=WEEKLY;INTERVAL=2,2019-03-30,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
